特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2026-07-23 18:27:03,餐饮,支出,39.00,柳记衢州鸭头,,账单同步,,
2026-07-23 18:12:11,餐饮,支出,36.80,4022597429455-XF,,账单同步,,
2026-07-23 16:39:47,餐饮,支出,9.00,朱家角站店,,账单同步,,
2026-07-23 16:36:13,交通,支出,24.00,TVM购票,,账单同步,,
2026-07-23 16:06:23,餐饮,支出,25.00,朱家角邮局,,账单同步,,
2026-07-23 14:12:36,餐饮,支出,47.90,订单付款,,账单同步,,
2026-07-23 13:28:11,餐饮,支出,230.72,上海一角餐饮服务有限公司,,账单同步,,
2026-07-23 12:33:43,生活日用,支出,7.00,智慧零售,,账单同步,,
2026-07-23 10:48:29,交通,支出,148.10,特惠快车打车-向师傅-07月23日行程,,账单同步,,
2026-07-23 10:37:26,交通,支出,16.00,上海耐特高速公路收费结算有限公司,,账单同步,,
2026-07-22 19:00:03,餐饮,支出,35.73,7-ELEVEn上海兴业太古汇REDEMPTION,,账单同步,,
2026-07-22 18:42:39,餐饮,支出,26.00,阿兰家兰州牛肉面,,账单同步,,
2026-07-22 18:25:25,餐饮,支出,68.90,阿兰家兰州牛肉面,余额,账单同步,,
2026-07-22 16:23:17,交通,支出,9.00,TVM购票,余额,账单同步,,
2026-07-22 16:15:19,酒店旅行,支出,196.00,上海锦江国际饭店有限公司,,账单同步,,
2026-07-22 15:44:09,生活日用,支出,5.00,自助售卖机,余额,账单同步,,
2026-07-22 15:43:34,生活日用,支出,8.00,自助售卖机,余额,账单同步,,
2026-07-22 15:32:18,酒店旅行,支出,39.00,上海旅游品商厦有限公司,余额,账单同步,,
2026-07-22 15:12:51,酒店旅行,支出,49.00,隽答(上海)娱乐有限公司,余额,账单同步,,
2026-07-22 14:43:39,运动,支出,919.79,上海锐力运动用品有限公司,,账单同步,,
2026-07-22 12:55:23,餐饮,支出,18.00,老上海小吃,余额,账单同步,,
2026-07-22 12:52:39,餐饮,支出,68.00,老上海小吃,余额,账单同步,,
2026-07-22 12:44:00,餐饮,支出,92.00,老上海小吃,余额,账单同步,,
2026-07-22 12:34:30,酒店旅行,支出,150.00,上海旅游品商厦有限公司,余额,账单同步,,
2026-07-22 11:21:24,穿搭美容,支出,718.94,耐克商业上海南京东路分店,,账单同步,,
2026-07-22 09:30:35,交通,支出,9.00,TVM购票,余额,账单同步,,
2026-07-22 08:53:35,餐饮,支出,164.00,BEIGEL TREE上海太古汇店,余额,账单同步,,
2026-07-21 19:49:49,转账,不计收支,370.00,余额充值,富邦华一银行|余额,账单同步,,
2026-07-21 19:43:46,餐饮,支出,28.00,油梨树,富邦华一银行,账单同步,,
2026-07-21 19:18:13,交通,支出,9.00,TVM购票,富邦华一银行,账单同步,,
2026-07-21 19:03:47,餐饮,支出,20.00,扫收钱码付款-给邻家便利店,富邦华一银行,账单同步,,
2026-07-21 18:59:03,餐饮,支出,254.00,扫收钱码付款-给茂隆餐厅,富邦华一银行,账单同步,,
2026-07-21 18:28:03,交通,支出,44.40,滴滴快车打车-郑师傅-07月21日行程,余额,账单同步,,
2026-07-21 16:56:59,交通,支出,9.96,滴滴快车打车-周师傅-07月21日行程,余额,账单同步,,
2026-07-21 16:11:49,餐饮,支出,15.30,蜜雪冰城,富邦华一银行,账单同步,,
2026-07-21 15:37:10,购物,支出,1，000.00,扫收钱码付款-给非常数码,富邦华一银行,账单同步,,
2026-07-21 13:09:21,餐饮,支出,178.00,鹅匠·潮汕卤味集市（天钥桥路店）,,账单同步,,
2026-07-19 14:18:21,其他,支出,192.00,扫收钱码付款-给**文,余额,账单同步,,
